lat,long
45.822458,16.029591
45.822434,16.02948
45.822409,16.029354
45.822389,16.029256
45.822364,16.029151
45.822336,16.02904
45.822311,16.028946
45.822306,16.028873
45.822289,16.028803
45.822276,16.028734
45.822243,16.028661
45.822229,16.028616
45.822209,16.028518
45.822191,16.028478
45.822191,16.028478
45.822191,16.028478
45.822188,16.028471
45.822186,16.028464
45.822183,16.028458
45.82218,16.028453
45.822174,16.028446
45.822171,16.028441
45.822166,16.028438
45.822163,16.028433
45.822158,16.028428
45.822153,16.028424
45.822148,16.02842
45.822143,16.028416
45.822138,16.028413
45.822131,16.02841
45.822126,16.028408
45.822121,16.028405
45.822114,16.028401
45.822058,16.028305
45.822038,16.028223
45.822026,16.02815
45.822016,16.028058
45.821998,16.027974
45.821978,16.027886
45.821951,16.027793
45.821921,16.027681
45.821893,16.027548
45.821878,16.027408
45.821831,16.02726
45.821795,16.027116
45.821753,16.026971
45.821724,16.026826
45.821701,16.026681
45.821678,16.026538
45.821653,16.026395
45.821633,16.026254
45.82161,16.026116
45.821576,16.025968
45.821541,16.025828
45.821501,16.025688
45.821456,16.025554
45.821419,16.025419
45.821388,16.025281
45.821356,16.025136
45.821331,16.024988
45.821301,16.024848
45.82127,16.024725
45.821234,16.024608
45.821206,16.024486
45.821178,16.024363
45.821158,16.024228
45.821138,16.0241
45.821118,16.023978
45.821095,16.023843
45.821066,16.023711
45.821045,16.023573
45.821026,16.023391
45.820995,16.023263
45.820963,16.023128
45.820931,16.022976
45.820891,16.022838
45.820861,16.022731
45.820841,16.022631
45.820828,16.022556
45.820806,16.022466
45.820801,16.0224
45.820796,16.022339
45.820789,16.022291
45.820755,16.022238
45.820746,16.022188
45.820741,16.022166
45.82074,16.022165
45.82074,16.022165
45.82074,16.022165
45.820736,16.02216
45.820736,16.02216
45.820736,16.02216
45.820733,16.022155
45.82073,16.022151
45.820726,16.022148
45.820723,16.022145
45.820718,16.022143
45.820713,16.022143
45.820708,16.022141
45.820703,16.022141
45.820696,16.022141
45.82069,16.022141
45.820683,16.022139
45.820676,16.022139
45.820669,16.022136
45.820665,16.02213
45.820606,16.022045
45.8206,16.021979
45.820583,16.021908
45.820561,16.021808
45.820539,16.021708
45.820506,16.021595
45.820468,16.021476
45.820436,16.021346
45.8204,16.021215
45.820374,16.021078
45.820329,16.020901
45.820295,16.020754
45.820271,16.020606
45.820229,16.020448
45.820178,16.020285
45.820154,16.020131
45.820131,16.019973
45.820113,16.019818
45.820066,16.019654
45.820013,16.019501
